,quarter_id,lat,lon,coordinates,area,population,great_parks_count,great_parks_area,great_parks_ndvi,good_parks_count,good_parks_area,good_parks_ndvi,ok_parks_count,ok_parks_area,ok_parks_ndvi,general_ndvi,general_area
197,way/83673248,56.75949318888889,60.590611911111104,"[(56.7608297, 60.5905758), (56.759069, 60.5893954), (56.7590089, 60.5896502), (56.758836, 60.5895535), (56.7586204, 60.5911531), (56.7586157, 60.5913645), (56.7587349, 60.5920941), (56.7608944, 60.5911448), (56.7608297, 60.5905758)]",25121.98,0,0,0.0,0.0,1,31.42,0.4242,1,87894.82,0.7237,0.7236,87926.23
198,way/84832323,56.82298732,60.52746648,"[(56.8228755, 60.5282598), (56.8235355, 60.5274311), (56.8231597, 60.5263046), (56.8224904, 60.5270771), (56.8228755, 60.5282598)]",7289.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
199,way/84832324,56.823867400000005,60.5296171,"[(56.8244807, 60.5303494), (56.8236294, 60.5277101), (56.82296, 60.5285192), (56.8237862, 60.5311574), (56.8244807, 60.5303494)]",16846.54,0,0,0.0,0.0,0,0.0,0.0,2,71776.33,0.5004,0.5004,71776.33
200,way/84832325,56.82432572,60.52837528,"[(56.8237351, 60.5275706), (56.8245864, 60.530285), (56.8252263, 60.5295662), (56.8243457, 60.526884), (56.8237351, 60.5275706)]",15608.39,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
201,way/84832326,56.8256072375,60.5307429875,"[(56.8257781, 60.5296627), (56.8253144, 60.5297056), (56.8239053, 60.5313793), (56.824378, 60.5326802), (56.8255667, 60.5313258), (56.8270225, 60.5316228), (56.8271148, 60.5299048), (56.8257781, 60.5296627)]",35547.74,100,0,0.0,0.0,0,0.0,0.0,3,78795.27,0.5182,0.5182,78795.27
202,way/84832328,56.82159244,60.526676,"[(56.8218689, 60.52566), (56.8207466, 60.5268437), (56.8211987, 60.5282143), (56.8222791, 60.527002), (56.8218689, 60.52566)]",13669.39,50,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
203,way/84832329,56.82342805,60.5252415625,"[(56.8232008, 60.5259827), (56.8239081, 60.5251643), (56.8237444, 60.524674), (56.8235565, 60.5246482), (56.8233417, 60.5248562), (56.8234239, 60.5251137), (56.8230482, 60.5255107), (56.8232008, 60.5259827)]",3611.81,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
204,way/84832331,56.82495261111112,60.52570182222222,"[(56.823647, 60.5273346), (56.8249445, 60.5258647), (56.8259283, 60.5257331), (56.8259485, 60.5251032), (56.8260689, 60.5250764), (56.8260927, 60.5246053), (56.8250371, 60.5241101), (56.8232595, 60.5261544), (56.823647, 60.5273346)]",27168.67,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
205,way/84832332,56.825884654545455,60.52804495454546,"[(56.8259417, 60.5259074), (56.8250339, 60.5260294), (56.8244513, 60.5267981), (56.8253717, 60.5293611), (56.8257395, 60.5294165), (56.8268407, 60.5295983), (56.8268817, 60.529223), (56.8264496, 60.5290771), (56.8260237, 60.5289542), (56.8260557, 60.528222), (56.8259417, 60.5259074)]",29006.12,100,0,0.0,0.0,0,0.0,0.0,1,5534.8,0.6905,0.6905,5534.8
206,way/84832333,56.82063424,60.52370372,"[(56.8209282, 60.5226763), (56.8197848, 60.5239444), (56.8201888, 60.5252103), (56.8213412, 60.5240113), (56.8209282, 60.5226763)]",13577.35,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
207,way/84832334,56.82113723333333,60.52499695,"[(56.8213853, 60.5241752), (56.8213388, 60.5241633), (56.820252, 60.5253524), (56.820682, 60.5266479), (56.82178, 60.5254677), (56.8213853, 60.5241752)]",13353.54,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
208,way/84832336,56.819730975,60.5230452125,"[(56.819725, 60.5237726), (56.8207712, 60.5226312), (56.8193551, 60.5222813), (56.8193257, 60.5224744), (56.8195077, 60.5230108), (56.8198365, 60.5230752), (56.8196016, 60.5233436), (56.819725, 60.5237726)]",6708.27,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
209,way/84832337,56.8220706,60.5282051,"[(56.8223463, 60.5272202), (56.8212457, 60.5284504), (56.8216567, 60.5296842), (56.822758, 60.5284505), (56.8223463, 60.5272202)]",12669.06,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
210,way/84832338,56.81809235,60.52690713333333,"[(56.8178343, 60.5277637), (56.818028, 60.5275706), (56.8189147, 60.5265943), (56.8185021, 60.5252913), (56.8174407, 60.5264592), (56.8178343, 60.5277637)]",12758.89,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
