id,название,широта_центра,долгота_центра,все_точки_границ,количество_точек,северная_граница,южная_граница,западная_граница,восточная_граница,сервер
859735738,Квартал,56.82883,60.58974,"60.590565,56.829394; 60.591043,56.828250; 60.588438,56.827970; 60.588087,56.829142; 60.590565,56.829394",5,56.829394,56.82797,60.588087,60.591043,https://overpass.kumi.systems/api/interpreter
859735739,Квартал,56.82922,60.592177,"60.590898,56.829729; 60.591467,56.828148; 60.594138,56.828490; 60.593483,56.830005; 60.590898,56.829729",5,56.830005,56.828148,60.590898,60.594138,https://overpass.kumi.systems/api/interpreter
859735740,Квартал,56.827279,60.593181,"60.594709,56.826519; 60.594113,56.827983; 60.593655,56.828220; 60.592109,56.828013; 60.591730,56.827810; 60.591923,56.827450; 60.592576,56.827494; 60.592846,56.827251; 60.593003,56.826847; 60.593318,56.826793; 60.593483,56.826444; 60.594709,56.826519",12,56.82822,56.826444,60.59173,60.594709,https://overpass.kumi.systems/api/interpreter
859735741,Квартал,56.827482,60.596924,"60.597975,56.826700; 60.597328,56.828554; 60.596180,56.828412; 60.596336,56.827852; 60.596368,56.827612; 60.596304,56.826549; 60.597975,56.826700",7,56.828554,56.826549,60.59618,60.597975,https://overpass.kumi.systems/api/interpreter
859735749,Квартал,56.834027,60.608701,"60.609147,56.834941; 60.609890,56.832867; 60.608093,56.832659; 60.607227,56.834724; 60.609147,56.834941",5,56.834941,56.832659,60.607227,60.60989,https://overpass.kumi.systems/api/interpreter
859735751,Квартал,56.83364,60.613562,"60.614501,56.833416; 60.614099,56.834387; 60.613444,56.834286; 60.613537,56.833779; 60.613372,56.833760; 60.613401,56.833648; 60.612756,56.833583; 60.612824,56.833378; 60.613218,56.833413; 60.613303,56.833282; 60.613789,56.833335; 60.614501,56.833416",12,56.834387,56.833282,60.612756,60.614501,https://overpass.kumi.systems/api/interpreter
859735752,Квартал,56.831101,60.607869,"60.608484,56.830352; 60.607892,56.832306; 60.607581,56.832271; 60.606905,56.830222; 60.608484,56.830352",5,56.832306,56.830222,60.606905,60.608484,https://overpass.kumi.systems/api/interpreter
859735753,Квартал,56.83058,60.609018,"60.609169,56.830454; 60.609056,56.830784; 60.608793,56.830767; 60.608903,56.830442; 60.609169,56.830454",5,56.830784,56.830442,60.608793,60.609169,https://overpass.kumi.systems/api/interpreter
859735755,Квартал,56.832348,60.614653,"60.615143,56.831921; 60.614585,56.833082; 60.613887,56.832999; 60.614506,56.831817; 60.615143,56.831921",5,56.833082,56.831817,60.613887,60.615143,https://overpass.kumi.systems/api/interpreter
859735756,Квартал,56.832108,60.616947,"60.617974,56.831299; 60.617130,56.833539; 60.615308,56.833228; 60.616348,56.831174; 60.617974,56.831299",5,56.833539,56.831174,60.615308,60.617974,https://overpass.kumi.systems/api/interpreter
